GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD36,Margin of Error; Female: - 6 to 17 years: - No health insurance coverage
HD01_VD37,Estimate; Female: - 18 to 24 years:
HD02_VD37,Margin of Error; Female: - 18 to 24 years:
HD01_VD38,Estimate; Female: - 18 to 24 years: - With health insurance coverage
HD02_VD38,Margin of Error; Female: - 18 to 24 years: - With health insurance coverage
HD01_VD39,Estimate; Female: - 18 to 24 years: - No health insurance coverage
HD02_VD39,Margin of Error; Female: - 18 to 24 years: - No health insurance coverage
HD01_VD40,Estimate; Female: - 25 to 34 years:
HD02_VD40,Margin of Error; Female: - 25 to 34 years:
HD01_VD41,Estimate; Female: - 25 to 34 years: - With health insurance coverage
HD02_VD41,Margin of Error; Female: - 25 to 34 years: - With health insurance coverage
HD01_VD42,Estimate; Female: - 25 to 34 years: - No health insurance coverage
HD02_VD42,Margin of Error; Female: - 25 to 34 years: - No health insurance coverage
HD01_VD43,Estimate; Female: - 35 to 44 years:
HD02_VD43,Margin of Error; Female: - 35 to 44 years:
HD01_VD44,Estimate; Female: - 35 to 44 years: - With health insurance coverage
HD02_VD44,Margin of Error; Female: - 35 to 44 years: - With health insurance coverage
HD01_VD45,Estimate; Female: - 35 to 44 years: - No health insurance coverage
HD02_VD45,Margin of Error; Female: - 35 to 44 years: - No health insurance coverage
HD01_VD46,Estimate; Female: - 45 to 54 years:
HD02_VD46,Margin of Error; Female: - 45 to 54 years:
HD01_VD47,Estimate; Female: - 45 to 54 years: - With health insurance coverage
HD02_VD47,Margin of Error; Female: - 45 to 54 years: - With health insurance coverage
HD01_VD48,Estimate; Female: - 45 to 54 years: - No health insurance coverage
HD02_VD48,Margin of Error; Female: - 45 to 54 years: - No health insurance coverage
HD01_VD49,Estimate; Female: - 55 to 64 years:
HD02_VD49,Margin of Error; Female: - 55 to 64 years:
HD01_VD50,Estimate; Female: - 55 to 64 years: - With health insurance coverage
HD02_VD50,Margin of Error; Female: - 55 to 64 years: - With health insurance coverage
HD01_VD51,Estimate; Female: - 55 to 64 years: - No health insurance coverage
HD02_VD51,Margin of Error; Female: - 55 to 64 years: - No health insurance coverage
HD01_VD52,Estimate; Female: - 65 to 74 years:
HD02_VD52,Margin of Error; Female: - 65 to 74 years:
HD01_VD53,Estimate; Female: - 65 to 74 years: - With health insurance coverage
HD02_VD53,Margin of Error; Female: - 65 to 74 years: - With health insurance coverage
HD01_VD54,Estimate; Female: - 65 to 74 years: - No health insurance coverage
HD02_VD54,Margin of Error; Female: - 65 to 74 years: - No health insurance coverage
HD01_VD55,Estimate; Female: - 75 years and over:
HD02_VD55,Margin of Error; Female: - 75 years and over:
HD01_VD56,Estimate; Female: - 75 years and over: - With health insurance coverage
HD02_VD56,Margin of Error; Female: - 75 years and over: - With health insurance coverage
HD01_VD57,Estimate; Female: - 75 years and over: - No health insurance coverage
HD02_VD57,Margin of Error; Female: - 75 years and over: - No health insurance coverage
