Disease,Area,State Abbreviation,FIPS,Year,Race,Sex,Age group,Transmission Category,Population,Cases,Rate
Gonorrhea,La Paz County,AZ,4012,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,324",11,54.1
Gonorrhea,Maricopa County,AZ,4013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"4,009,412","5,642",140.7
Gonorrhea,Mohave County,AZ,4015,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"203,030",74,36.4
Gonorrhea,Navajo County,AZ,4017,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"107,322",150,139.8
Gonorrhea,Pima County,AZ,4019,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"996,554","1,057",106.1
Gonorrhea,Pinal County,AZ,4021,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"389,350",302,77.6
Gonorrhea,Santa Cruz County,AZ,4023,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"46,768",17,36.3
Gonorrhea,Yavapai County,AZ,4025,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"215,133",51,23.7
Gonorrhea,Yuma County,AZ,4027,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"201,201",124,61.6
Gonorrhea,Arkansas County,AR,5001,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"18,777",84,447.4
Gonorrhea,Ashley County,AR,5003,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"21,283",30,141
Gonorrhea,Baxter County,AR,5005,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"40,957",9,22
Gonorrhea,Benton County,AR,5007,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"237,297",88,37.1
Gonorrhea,Boone County,AR,5009,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"37,396",12,32.1
Gonorrhea,Bradley County,AR,5011,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"11,249",6,53.3
Gonorrhea,Calhoun County,AR,5013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"5,241",4,76.3
Gonorrhea,Carroll County,AR,5015,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,808",4,14.4
Gonorrhea,Chicot County,AR,5017,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"11,335",21,185.3
Gonorrhea,Clark County,AR,5019,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,743",63,277
Gonorrhea,Clay County,AR,5021,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"15,402",7,45.4
Gonorrhea,Cleburne County,AR,5023,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"25,686",1,3.9
Gonorrhea,Cleveland County,AR,5025,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,593",5,58.2
Gonorrhea,Columbia County,AR,5027,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"24,164",82,339.3
Gonorrhea,Conway County,AR,5029,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"21,245",32,150.6
Gonorrhea,Craighead County,AR,5031,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"101,488",134,132
Gonorrhea,Crawford County,AR,5033,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"61,640",27,43.8
Gonorrhea,Crittenden County,AR,5035,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"49,746",157,315.6
Gonorrhea,Cross County,AR,5037,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,548",22,125.4
Gonorrhea,Dallas County,AR,5039,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"7,933",8,100.8
Gonorrhea,Desha County,AR,5041,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,505",23,183.9
Gonorrhea,Drew County,AR,5043,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"18,785",31,165
Gonorrhea,Faulkner County,AR,5045,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"119,580",123,102.9
Gonorrhea,Franklin County,AR,5047,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"18,034",7,38.8
Gonorrhea,Fulton County,AR,5049,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,304",0,0
Gonorrhea,Garland County,AR,5051,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"97,173",165,169.8
Gonorrhea,Grant County,AR,5053,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"18,019",6,33.3
Gonorrhea,Greene County,AR,5055,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"43,097",61,141.5
Gonorrhea,Hempstead County,AR,5057,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,474",95,422.7
Gonorrhea,Hot Spring County,AR,5059,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"33,500",56,167.2
Gonorrhea,Howard County,AR,5061,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,581",36,265.1
Gonorrhea,Independence County,AR,5063,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"36,997",28,75.7
Gonorrhea,Izard County,AR,5065,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"13,368",2,15
Gonorrhea,Jackson County,AR,5067,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,615",12,68.1
Gonorrhea,Jefferson County,AR,5069,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"73,191",334,456.3
Gonorrhea,Johnson County,AR,5071,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"25,846",19,73.5
Gonorrhea,Lafayette County,AR,5073,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"7,252",18,248.2
Gonorrhea,Lawrence County,AR,5075,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,011",12,70.5
Gonorrhea,Lee County,AR,5077,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,015",18,179.7
Gonorrhea,Lincoln County,AR,5079,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,031",14,99.8
Gonorrhea,Little River County,AR,5081,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,730",19,149.3
Gonorrhea,Logan County,AR,5083,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"22,082",11,49.8
Gonorrhea,Lonoke County,AR,5085,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"70,753",63,89
Gonorrhea,Madison County,AR,5087,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"15,701",0,0
Gonorrhea,Marion County,AR,5089,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"16,430",0,0
Gonorrhea,Miller County,AR,5091,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"43,402",230,529.9
Gonorrhea,Mississippi County,AR,5093,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"44,765",141,315
Gonorrhea,Monroe County,AR,5095,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"7,682",22,286.4
Gonorrhea,Montgomery County,AR,5097,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,226",7,75.9
Gonorrhea,Nevada County,AR,5099,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,799",28,318.2
Gonorrhea,Newton County,AR,5101,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,064",0,0
Gonorrhea,Ouachita County,AR,5103,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"25,002",41,164
Gonorrhea,Perry County,AR,5105,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,345",0,0
Gonorrhea,Phillips County,AR,5107,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,399",51,250
Gonorrhea,Pike County,AR,5109,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"11,177",8,71.6
Gonorrhea,Poinsett County,AR,5111,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"24,145",34,140.8
Gonorrhea,Polk County,AR,5113,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"20,406",2,9.8
Gonorrhea,Pope County,AR,5115,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"62,547",64,102.3
Gonorrhea,Prairie County,AR,5117,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,374",5,59.7
Gonorrhea,Pulaski County,AR,5119,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"391,284","1,192",304.6
Gonorrhea,Randolph County,AR,5121,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,692",4,22.6
Gonorrhea,St. Francis County,AR,5123,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,260",34,124.7
Gonorrhea,Saline County,AR,5125,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"114,404",73,63.8
Gonorrhea,Scott County,AR,5127,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,950",5,45.7
Gonorrhea,Searcy County,AR,5129,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"8,023",2,24.9
Gonorrhea,Sebastian County,AR,5131,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"127,342",168,131.9
Gonorrhea,Sevier County,AR,5133,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,366",19,109.4
Gonorrhea,Sharp County,AR,5135,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,049",3,17.6
Gonorrhea,Stone County,AR,5137,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"12,581",2,15.9
Gonorrhea,Union County,AR,5139,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"40,694",105,258
Gonorrhea,Van Buren County,AR,5141,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"16,932",3,17.7
Gonorrhea,Washington County,AR,5143,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"216,410",252,116.4
Gonorrhea,White County,AR,5145,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"78,483",75,95.6
Gonorrhea,Woodruff County,AR,5147,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"7,072",12,169.7
Gonorrhea,Yell County,AR,5149,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"21,893",8,36.5
Gonorrhea,Alameda County,CA,6001,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"1,578,891","2,306",146.1
Gonorrhea,Alpine County,CA,6003,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"1,159",0,0
Gonorrhea,Amador County,CA,6005,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"36,519",12,32.9
Gonorrhea,Butte County,CA,6007,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"222,090",307,138.2
Gonorrhea,Calaveras County,CA,6009,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"44,515",19,42.7
Gonorrhea,Colusa County,CA,6011,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"21,358",5,23.4
Gonorrhea,Contra Costa County,CA,6013,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"1,094,205","1,028",93.9
Gonorrhea,Del Norte County,CA,6015,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,873",16,57.4
Gonorrhea,El Dorado County,CA,6017,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"181,737",50,27.5
Gonorrhea,Fresno County,CA,6019,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"955,272","1,519",159
Gonorrhea,Glenn County,CA,6021,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"27,940",7,25.1
Gonorrhea,Humboldt County,CA,6023,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"134,493",143,106.3
Gonorrhea,Imperial County,CA,6025,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"176,584",84,47.6
Gonorrhea,Inyo County,CA,6027,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"18,467",9,48.7
Gonorrhea,Kern County,CA,6029,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"864,124","1,548",179.1
Gonorrhea,Kings County,CA,6031,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"150,960",148,98
Gonorrhea,Lake County,CA,6033,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"63,860",67,104.9
Gonorrhea,Lassen County,CA,6035,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"32,163",12,37.3
Gonorrhea,Los Angeles County,CA,6037,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"10,017,068","15,316",152.9
Gonorrhea,Madera County,CA,6039,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"152,389",161,105.7
Gonorrhea,Marin County,CA,6041,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"258,365",87,33.7
Gonorrhea,Mariposa County,CA,6043,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"17,755",6,33.8
Gonorrhea,Mendocino County,CA,6045,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"87,192",55,63.1
Gonorrhea,Merced County,CA,6047,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"263,228",188,71.4
Gonorrhea,Modoc County,CA,6049,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"9,147",1,10.9
Gonorrhea,Mono County,CA,6051,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"14,074",4,28.4
Gonorrhea,Monterey County,CA,6053,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"428,826",296,69
Gonorrhea,Napa County,CA,6055,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"140,326",60,42.8
Gonorrhea,Nevada County,CA,6057,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"98,200",27,27.5
Gonorrhea,Orange County,CA,6059,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"3,114,363","1,814",58.2
Gonorrhea,Placer County,CA,6061,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"367,309",145,39.5
Gonorrhea,Plumas County,CA,6063,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"18,859",3,15.9
Gonorrhea,Riverside County,CA,6065,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"2,292,507","1,685",73.5
Gonorrhea,Sacramento County,CA,6067,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"1,462,131","2,227",152.3
Gonorrhea,San Benito County,CA,6069,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"57,600",22,38.2
Gonorrhea,San Bernardino County,CA,6071,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"2,088,371","2,607",124.8
Gonorrhea,San Diego County,CA,6073,2014,All races/ethnicities,Both sexes,All age groups,All transmission categories,"3,211,252","3,420",106.5
